PB2	PB1	PA	HA	NP	NA	M	NS
A/Swine/Binh_Duong/03_10/2010	trig	trig	trig	HuH3N2	trig	HuH3N2	trig	trig
A/Swine/Binh_Duong/03_08/2010	trig	trig	trig	HuH3N2	trig	HuH3N2	trig	trig
A/Swine/HK/2857/2011	pdm	pdm	pdm	HuH3N2	trig	HuH3N2	pdm	pdm
A/Swine/HK/1071/2012	pdm	pdm	pdm	HuH3N2	trig	HuH3N2	pdm	pdm
A/Swine/HK/2454/2012	pdm	pdm	pdm	HuH3N2	trig	HuH3N2	pdm	pdm
A/Swine/GX_NS2783/2010	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK_NS2733/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK_NS2439/2011	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK/2503/2011	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX/2803/2011	pdm	trig	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX_NS3108/2011	pdm	trig	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX_NS3106/2011	pdm	trig	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GD/3767/2011	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX_NS2394/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK_NS2698/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK/1284/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK/3238/2011	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK/459/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK_NS2810/2011	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK/3700/2011	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK/168/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GD/1599/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK_NS1651/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GD/2919/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX/650/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX/2242/2011	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX/508/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/HK/3280/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	pdm
A/Swine/GX_NS1409/2012	pdm	pdm	pdm	HuH3N2	pdm	HuH3N2	pdm	trig
